avg_power,avg_current,peak_current,energy,time,avg_voltage,version,peak_power,n_samples,peak_voltage
2019-04-05 20:01:240.00844806954976,0.00297566366903,0.0538251775568,12.9697490242,1535.23227381,2.84109122192,1,0.15283943011,128959511.0,2.93305371094
2019-04-05 20:01:280.0218702936823,0.00769806900213,0.0558651988636,0.0435950457674,1.9933452381,2.8410244579,1,0.158953621307,167441.0,2.88989941406
2019-04-05 20:01:310.0221902587809,0.00781106244091,0.0516282315341,0.0415502028883,1.87245238095,2.84094750406,1,0.146601086024,157286.0,2.8884609375
2019-04-05 20:01:350.0216361214012,0.00761588729484,0.0516282315341,0.045440748827,2.10022619048,2.84098335888,1,0.146601086024,176419.0,2.88702246094
2019-04-05 20:01:390.0221196394268,0.00778619952823,0.0516020774148,0.0421942655227,1.90754761905,2.84094872114,1,0.146823733538,160234.0,2.88702246094
2019-04-05 20:01:430.0222668174227,0.00783821635346,0.00884009232955,0.0411519944899,1.84813095238,2.84082128236,1,0.0251146246121,155243.0,2.8884609375
2019-04-05 20:01:460.0219814745058,0.00773787351201,0.00884009232955,0.0427989775997,1.94704761905,2.8407816823,1,0.0250891920809,163552.0,2.8884609375
2019-04-05 20:01:500.022187906049,0.00781040714343,0.0089185546875,0.0415373449742,1.87207142857,2.84083176135,1,0.0253375354815,157254.0,2.8884609375
2019-04-05 20:01:540.0222860336015,0.00784484894946,0.0515759232955,0.041182998236,1.84792857143,2.84092100428,1,0.146600935535,155226.0,2.88558398438
2019-04-05 20:01:570.0220999119048,0.00777918780846,0.0089185546875,0.0422455601712,1.91157142857,2.84092076167,1,0.0253375354815,160572.0,2.88989941406
2019-04-05 20:02:010.0221465693864,0.00779583528299,0.0516020774148,0.0418923451915,1.8915952381,2.84089144624,1,0.14667527678,158894.0,2.88702246094
2019-04-05 20:02:050.0222736325814,0.00784056848587,0.0515497691761,0.0411860679413,1.8490952381,2.84089078319,1,0.14637828802,155324.0,2.8884609375
2019-04-05 20:02:080.0222414524675,0.00782920480106,0.0089185546875,0.0413479192539,1.85904761905,2.84085084525,1,0.0253247063496,156160.0,2.88989941406
2019-04-05 20:02:120.0221251799552,0.0077882219954,0.00894470880682,0.0420728734497,1.90158333333,2.84087198704,1,0.0254118391046,159733.0,2.88702246094
2019-04-05 20:02:160.021953586147,0.00772812299958,0.00886624644886,0.0431312175646,1.9646547619,2.84075739345,1,0.0251889282352,165031.0,2.88989941406
2019-04-05 20:02:190.0219928823459,0.00774230153426,0.0516282315341,0.0428596767516,1.94879761905,2.84068260882,1,0.146601086024,163699.0,2.88702246094
2019-04-05 20:02:230.0220516743619,0.00776296244724,0.0516805397727,0.042530329286,1.92866666667,2.84069423347,1,0.146823959271,162008.0,2.88989941406
2019-04-05 20:02:270.0219025811506,0.00771016484209,0.00894470880682,0.0435264258815,1.98727380952,2.84075634074,1,0.0254118391046,166931.0,2.88702246094
2019-04-05 20:02:310.0218447902149,0.00769003282819,0.00886624644886,0.044027654564,2.01547619048,2.8406815009,1,0.0252016821229,169300.0,2.88702246094
2019-04-05 20:02:340.0220660643775,0.00776813270764,0.00889240056818,0.042300908103,1.91701190476,2.84060596517,1,0.0252632318583,161029.0,2.88558398438
2019-04-05 20:02:380.0220422108457,0.00776000188815,0.0515759232955,0.042573218212,1.93144047619,2.84056019374,1,0.146526744778,162241.0,2.8884609375
2019-04-05 20:02:420.0217162584904,0.00764474849787,0.00884009232955,0.0447996071581,2.06295238095,2.84069598323,1,0.0251146246121,173288.0,2.88702246094
2019-04-05 20:02:460.0219500022989,0.00772725935947,0.00884009232955,0.0433637973987,1.97557142857,2.840612487,1,0.0251273408777,165948.0,2.88126855469
2019-04-05 20:02:500.0217369370615,0.00765279278785,0.0515497691761,0.0447146909469,2.05708333333,2.84046144831,1,0.146155828616,172795.0,2.88702246094
2019-04-05 20:02:530.0218064384493,0.00767723294325,0.0516020774148,0.0441427214329,2.02429761905,2.84046900066,1,0.146526820023,170041.0,2.88558398438
2019-04-05 20:02:570.0217517223482,0.00765750723796,0.0516282315341,0.0447228358933,2.05605952381,2.84064257137,1,0.146601086024,172709.0,2.88989941406
2019-04-05 20:03:010.0218772298024,0.0077017632827,0.0516543856534,0.0438172264189,2.00286904762,2.84061406624,1,0.146526744778,168241.0,2.88702246094
2019-04-05 20:03:050.0217621162539,0.00766128578999,0.0516020774148,0.0445693322336,2.04802380952,2.8405965275,1,0.146601048401,172034.0,2.88989941406
2019-04-05 20:03:090.0221427518257,0.00779550097341,0.00889240056818,0.0418677260354,1.89080952381,2.84046978266,1,0.0252504403485,158828.0,2.88989941406
2019-04-05 20:03:120.0218099347456,0.00767855682455,0.00886624644886,0.0441594057341,2.02473809524,2.84038604228,1,0.0251889282352,170078.0,2.88558398438
2019-04-05 20:03:160.021919728777,0.00771688390422,0.0516020774148,0.0434305502326,1.9813452381,2.84055736807,1,0.146601048401,166433.0,2.8884609375
2019-04-05 20:03:200.0217847664711,0.00766934789208,0.00878778409091,0.0445104273798,2.04319047619,2.8405153842,1,0.0249660173659,171628.0,2.88989941406
2019-04-05 20:03:240.021726761799,0.00764919374938,0.0516020774148,0.0448874898767,2.066,2.8404650858,1,0.146601048401,173544.0,2.88989941406
2019-04-05 20:03:280.0217403260434,0.0076538995841,0.00894470880682,0.0448937732795,2.065,2.84044145349,1,0.0253989723506,173460.0,2.88989941406
2019-04-05 20:03:310.0217861292429,0.00767044095095,0.0516020774148,0.0443690083552,2.03657142857,2.84033832494,1,0.146526820023,171072.0,2.88702246094
