avg_power,avg_current,peak_current,energy,time,avg_voltage,version,peak_power,n_samples,peak_voltage
2019-04-12 15:00:200.0233850911742,0.00823188977669,0.0516020774148,0.0414177804089,1.77111904762,2.84086725602,1,0.146526820023,148774.0,2.8884609375
2019-04-12 15:00:240.0233975761256,0.00823568547813,0.00936317471591,0.0414254085304,1.7705,2.84102309068,1,0.026587228367,148722.0,2.88989941406
2019-04-12 15:00:270.0234087195335,0.00823939526132,0.00931086647727,0.0413746331003,1.76748809524,2.84109715724,1,0.0264253029017,148469.0,2.89277636719
2019-04-12 15:00:310.0234213187413,0.00824382333308,0.0515759232955,0.0413612124215,1.76596428571,2.84114969054,1,0.146600935535,148341.0,2.89133789063
2019-04-12 15:00:350.0233691965975,0.00822583193183,0.00933702059659,0.0415646199912,1.77860714286,2.84097593104,1,0.0265263934513,149403.0,2.89133789063
2019-04-12 15:00:380.0233740660029,0.00822784023991,0.0515497691761,0.0415755068519,1.77870238095,2.84092405809,1,0.14652659429,149411.0,2.88989941406
2019-04-12 15:00:420.0234165009181,0.00824231219731,0.00931086647727,0.0413911742835,1.76760714286,2.84103472011,1,0.0264654832913,148479.0,2.89421484375
2019-04-12 15:00:450.0234307406014,0.0082467132566,0.00936317471591,0.0412687865711,1.76130952381,2.84124557676,1,0.0266006970744,147950.0,2.89133789063
2019-04-12 15:00:490.0234157760754,0.00824204731971,0.00936317471591,0.041349751716,1.76589285714,2.84103772008,1,0.026587228367,148335.0,2.88558398438
2019-04-12 15:00:530.0233987189128,0.00823603551602,0.00938932883523,0.0413185163697,1.7658452381,2.84104207562,1,0.026661494368,148331.0,2.8884609375
2019-04-12 15:00:560.0234300077112,0.00824669589216,0.00928471235795,0.0412005528455,1.75845238095,2.84116302762,1,0.0263644303639,147710.0,2.89277636719
2019-04-12 15:01:000.0233895103341,0.00823206493275,0.00928471235795,0.0413799420328,1.76916666667,2.84129316421,1,0.026377786205,148610.0,2.89421484375
2019-04-12 15:01:030.0234249318628,0.00824517075049,0.00954625355114,0.0411921849443,1.75847619048,2.84107328606,1,0.0270796262502,147712.0,2.89277636719
2019-04-12 15:01:070.023450209291,0.00825404031108,0.0516020774148,0.0411154752852,1.75330952381,2.84113235506,1,0.14667527678,147278.0,2.8884609375
2019-04-12 15:01:110.0234470949321,0.00825270743614,0.0516282315341,0.0411479768133,1.75492857143,2.841213695,1,0.146749618026,147414.0,2.88270703125
2019-04-12 15:01:140.0234271062499,0.00824504657241,0.0516020774148,0.0411817849519,1.75786904762,2.84143027161,1,0.146601048401,147661.0,2.88558398438
2019-04-12 15:01:180.0234234010734,0.00824360233678,0.0516020774148,0.0413049369929,1.7634047619,2.84147787644,1,0.14667527678,148126.0,2.89133789063
2019-04-12 15:01:210.0234108891695,0.00823902289974,0.00944163707386,0.0413138092598,1.76472619048,2.84148762349,1,0.0268100263701,148237.0,2.89277636719
2019-04-12 15:01:250.0233548753597,0.00821975648755,0.0516020774148,0.0415494354018,1.77904761905,2.84138266253,1,0.146601048401,149440.0,2.88989941406
2019-04-12 15:01:290.0233759161909,0.00822713016329,0.0516020774148,0.0414229583445,1.77203571429,2.84139570184,1,0.146601048401,148851.0,2.89277636719
2019-04-12 15:01:320.0234212547923,0.00824283435388,0.0515759232955,0.0412136013495,1.75966666667,2.84148224828,1,0.146600935535,147812.0,2.89277636719
2019-04-12 15:01:360.0233754671646,0.00822651475086,0.00931086647727,0.0414291196381,1.77233333333,2.84150355154,1,0.0264520898281,148876.0,2.89277636719
2019-04-12 15:01:390.0233968104255,0.00823431814948,0.0515759232955,0.0412911923991,1.76482142857,2.84145238316,1,0.146526744778,148245.0,2.89133789063
2019-04-12 15:01:430.0234134828732,0.00824002020879,0.00933702059659,0.0412907919747,1.76354761905,2.8414586493,1,0.0265263934513,148138.0,2.89277636719
2019-04-12 15:01:470.0234341171475,0.00824649848999,0.00928471235795,0.0411424983386,1.75566666667,2.84172937192,1,0.0264044978873,147476.0,2.89277636719
2019-04-12 15:01:500.0234062448105,0.00823685221799,0.00933702059659,0.0412925168865,1.76416666667,2.84167325209,1,0.0265398245365,148190.0,2.89421484375
2019-04-12 15:01:540.0234286630477,0.00824472777696,0.00931086647727,0.0411772698696,1.75755952381,2.84167767707,1,0.0264654832913,147635.0,2.89277636719
2019-04-12 15:01:570.023358691992,0.00822043303101,0.0516020774148,0.0414452715854,1.77429761905,2.84161360075,1,0.146823733538,149041.0,2.89133789063
2019-04-12 15:02:010.0233833279241,0.00822906731183,0.0516020774148,0.0413077622697,1.76654761905,2.84162728532,1,0.146601048401,148390.0,2.89421484375
2019-04-12 15:02:050.0233816775919,0.008228386782,0.00944163707386,0.0413800022716,1.76976190476,2.84160949653,1,0.0268100263701,148660.0,2.89277636719
2019-04-12 15:02:080.0234143179359,0.008240020243,0.00936317471591,0.0412616030406,1.76223809524,2.84156028318,1,0.0266006970744,148028.0,2.88702246094
2019-04-12 15:02:120.0234057499979,0.00823718806398,0.0516020774148,0.041216132547,1.76094047619,2.84154813814,1,0.146378363265,147919.0,2.89277636719
2019-04-12 15:02:160.0234043484237,0.00823648330711,0.0515759232955,0.0412423626472,1.76216666667,2.84162002331,1,0.146675126292,148022.0,2.89277636719
2019-04-12 15:02:190.0233080620804,0.00820265634717,0.00936317471591,0.0417402995551,1.79080952381,2.84154795266,1,0.0266276344891,150428.0,2.89277636719
2019-04-12 15:02:230.0233496343344,0.00821718701601,0.00936317471591,0.0415150939028,1.77797619048,2.8415836302,1,0.0266006970744,149350.0,2.89133789063
