timestamp,time,energy,avg_power,set_freq,meas_freq,success,fail,total
2019-05-15 20:26:38,3.55226190476,0.0470280106765,0.0132388917083,226000000,81788928,1000000,0,1000000
2019-05-15 20:26:44,3.55154761905,0.0470152781254,0.0132379692372,226000000,81690624,1000000,0,1000000
2019-05-15 20:26:49,3.54930952381,0.0469765148555,0.0132353953749,226000000,82018304,1000000,0,1000000
2019-05-15 20:26:54,3.54879761905,0.0470150369822,0.0132481595259,226000000,81887232,1000000,0,1000000
2019-05-15 20:27:00,3.54925,0.0469984936885,0.0132418098721,226000000,81854464,1000000,0,1000000
2019-05-15 20:27:05,3.54922619048,0.0469970781503,0.013241499873,226000000,81854464,1000000,0,1000000
2019-05-15 20:27:10,3.54923809524,0.0470208949204,0.0132481658482,226000000,82018304,1000000,0,1000000
2019-05-15 20:27:15,3.5489047619,0.0470042387981,0.0132447168779,226000000,82083840,1000000,0,1000000
2019-05-15 20:27:21,3.54911904762,0.0470322247162,0.0132518025136,226000000,81887232,1000000,0,1000000
2019-05-15 20:27:26,3.54888095238,0.0470056184681,0.013245194499,226000000,81952768,1000000,0,1000000
2019-05-15 20:27:31,3.54998809524,0.0469964708671,0.0132384868924,226000000,81854464,1000000,0,1000000
2019-05-15 20:27:37,3.54882142857,0.0470262959666,0.0132512432403,226000000,82018304,1000000,0,1000000
2019-05-15 20:27:42,3.5495952381,0.0470002599372,0.0132410195486,226000000,81756160,1000000,0,1000000
2019-05-15 20:27:47,3.54933333333,0.0469947863395,0.0132404544533,226000000,81887232,1000000,0,1000000
2019-05-15 20:27:53,3.55005952381,0.0470076294628,0.0132413637426,226000000,81920000,1000000,0,1000000
2019-05-15 20:27:58,3.55020238095,0.0470194794444,0.0132441687541,226000000,81985536,1000000,0,1000000
2019-05-15 20:28:03,3.5505952381,0.0469868337857,0.0132335089288,226000000,81854464,1000000,0,1000000
2019-05-15 20:28:09,3.55183333333,0.0469996016707,0.0132324907336,226000000,81854464,1000000,0,1000000
2019-05-15 20:28:14,3.54998809524,0.0469950711933,0.0132380926168,226000000,81952768,1000000,0,1000000
2019-05-15 20:28:19,3.54904761905,0.0470029780551,0.0132438285141,226000000,81985536,1000000,0,1000000
