avg_power,avg_current,peak_current,energy,time,avg_voltage,version,peak_power,n_samples,peak_voltage
2019-04-05 18:50:140.0218061509601,0.00767065124068,0.0556821200284,0.0447490773375,2.05213095238,2.84287311604,1,0.158432705881,172379.0,2.8884609375
2019-04-05 18:50:180.0215927179207,0.00759637984117,0.00881393821023,0.0461860524639,2.13896428571,2.84251633731,1,0.0250529996325,179673.0,2.89277636719
2019-04-05 18:50:220.0218201607649,0.0076766919506,0.00894470880682,0.0444933859101,2.0390952381,2.84240774301,1,0.0254118391046,171284.0,2.89133789063
2019-04-05 18:50:260.0217275068776,0.00764271187644,0.00886624644886,0.0451699348338,2.07892857143,2.84292333134,1,0.0252016821229,174630.0,2.88989941406
2019-04-05 18:50:300.0216031198703,0.00759993218026,0.00881393821023,0.0460719964633,2.1326547619,2.84255797106,1,0.025040320989,179143.0,2.88989941406
2019-04-05 18:50:330.0217446647474,0.00765016588904,0.0089185546875,0.0447220448938,2.05669047619,2.84239415065,1,0.0253375354815,172762.0,2.8884609375
2019-04-05 18:50:370.0217185114226,0.00764090335648,0.00894470880682,0.0450271281458,2.07321428571,2.84241691756,1,0.0254118391046,174150.0,2.88989941406
2019-04-05 18:50:410.0217962356369,0.00766733115218,0.00881393821023,0.0450219410609,2.06558333333,2.84275704623,1,0.0250656782761,173509.0,2.89133789063
2019-04-05 18:50:450.0216571225964,0.00761841264655,0.0516282315341,0.0457287565394,2.11148809524,2.84280009126,1,0.146823884027,177365.0,2.89133789063
2019-04-05 18:50:490.0217902101718,0.00766497438392,0.00884009232955,0.0446325762063,2.04828571429,2.84284490406,1,0.025152773409,172056.0,2.89277636719
2019-04-05 18:50:530.0216237776025,0.00760621579675,0.0515759232955,0.0458714976467,2.1213452381,2.84297362575,1,0.146675126292,178193.0,2.89133789063
2019-04-05 18:50:560.0216669477397,0.00762076827244,0.0516282315341,0.0454701533505,2.0985952381,2.8432098898,1,0.146749618026,176282.0,2.8884609375
2019-04-05 18:51:000.021851239126,0.00768644215829,0.00881393821023,0.044225607322,2.02394047619,2.84284729253,1,0.025040320989,170011.0,2.88702246094
2019-04-05 18:51:040.0216991722069,0.00763265937477,0.0516020774148,0.0451030210495,2.07855952381,2.84300302173,1,0.14667527678,174599.0,2.89133789063
2019-04-05 18:51:080.021788288233,0.00766318047725,0.0516543856534,0.0447129394511,2.0521547619,2.84331186122,1,0.146749655648,172381.0,2.89133789063
2019-04-05 18:51:110.0217049279672,0.00763467376452,0.0516805397727,0.0454852604752,2.09561904762,2.84300793167,1,0.146972641761,176032.0,2.88989941406
2019-04-05 18:51:150.0218423959746,0.00768288399342,0.0089185546875,0.0442581548435,2.02625,2.84301090116,1,0.0253375354815,170205.0,2.8884609375
2019-04-05 18:51:190.0217786855314,0.00766055312226,0.0516282315341,0.0445270411092,2.04452380952,2.84303127793,1,0.14637828802,171740.0,2.88702246094
2019-04-05 18:51:230.0217234358416,0.00764141298484,0.00894470880682,0.0450044937555,2.07170238095,2.84287315915,1,0.0254247058585,174023.0,2.89133789063
2019-04-05 18:51:270.0218258539762,0.00767768570923,0.0516282315341,0.0441368135401,2.02222619048,2.84283372474,1,0.146749618026,169867.0,2.88702246094
2019-04-05 18:51:300.0216232669659,0.00760630118171,0.0516282315341,0.0455458079859,2.10633333333,2.84287471344,1,0.146823884027,176932.0,2.8884609375
2019-04-05 18:51:340.0218022252602,0.00766881891262,0.00894470880682,0.0442982284741,2.03182142857,2.84298772265,1,0.0254375726125,170673.0,2.8884609375
2019-04-05 18:51:380.0216332173689,0.00761033545449,0.0089185546875,0.0454980041247,2.1031547619,2.84262749889,1,0.0253503646133,176665.0,2.88702246094
2019-04-05 18:51:420.0218612597872,0.00769025940744,0.0516282315341,0.0443645639541,2.02936904762,2.84278781515,1,0.146526820023,170467.0,2.8884609375
2019-04-05 18:51:460.0218618263532,0.00769016293013,0.00889240056818,0.0439727213709,2.01139285714,2.84284833112,1,0.0252760233681,168957.0,2.89133789063
2019-04-05 18:51:490.0216332290981,0.00760922697441,0.0516805397727,0.0454460060278,2.10075,2.84309168034,1,0.146823959271,176463.0,2.89133789063
2019-04-05 18:51:530.0218119390126,0.00767240427219,0.0516020774148,0.0441359392602,2.02347619048,2.84297428289,1,0.146823733538,169972.0,2.8884609375
2019-04-05 18:51:570.0216104332716,0.00760176187438,0.0516020774148,0.045634803393,2.11170238095,2.84288423776,1,0.146601048401,177383.0,2.89133789063
2019-04-05 18:52:010.0217762084552,0.00765941122561,0.00884009232955,0.0443640991565,2.03727380952,2.84308328984,1,0.0251400571434,171131.0,2.88702246094
2019-04-05 18:52:050.0217592109613,0.00765337313799,0.0089185546875,0.0445820328775,2.04888095238,2.84310481181,1,0.0253631937452,172106.0,2.88702246094
2019-04-05 18:52:080.0218230372908,0.00767602373574,0.0516282315341,0.0441872339468,2.02479761905,2.84308111779,1,0.146749618026,170083.0,2.88989941406
2019-04-05 18:52:120.0217947927046,0.00766566090674,0.00894470880682,0.0446736168845,2.04973809524,2.84319018075,1,0.0254118391046,172178.0,2.8884609375
2019-04-05 18:52:160.0218285211048,0.00767810971094,0.0089185546875,0.044041380099,2.01760714286,2.84297318497,1,0.0253631937452,169479.0,2.89133789063
2019-04-05 18:52:200.0215705928478,0.00758719167705,0.00878778409091,0.0459145476333,2.12857142857,2.8430437754,1,0.0249912994088,178800.0,2.88989941406
2019-04-05 18:52:240.0218474956666,0.00768480365602,0.0089185546875,0.0441488470468,2.02077380952,2.84296593516,1,0.0253760228771,169745.0,2.89277636719
