    CC  test.c
riscv32-unknown-elf-objdump -D /vagrant/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test > /vagrant/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test.s
/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


          ,ad8888ba,        db        88888888ba   ad88888ba   
         d8"'    `"8b      d88b       88      "8b d8"     "8b  
        d8'               d8'`8b      88      ,8P Y8a     a8P  
        88               d8'  `8b     88aaaaaa8P'  "Y8aaa8P"   
        88      88888   d8YaaaaY8b    88""""""'    ,d8"""8b,   
        Y8,        88  d8""""""""8b   88          d8"     "8b  
         Y8a.    .a88 d8'        `8b  88          Y8a     a8P  
          `"Y88888P" d8'          `8b 88           "Y88888P"   

---------------------------------GAPUINO------------------------------------

Bridge init - log level 0
Cable state change connected
FC Frequency: 149 MHz - Voltage: 1200 mV
Done generating table for seed = 10
Voltage: 1000 - FCMaxFreq: 150 MHz - ClusterMaxFreq: 87 MHz
Set: Cluster Freq: 225 MHz - Voltage: 1000 mV
272,93590,0x744d6831,0x746d6831,1,94
0,0,0x34e29086,0x00029086,2,129
66,22877,0x21c912a7,0x21e912a7,3,141
272,93590,0x744d6831,0x746d6831,4,181
271,93590,0x744d6831,0x746d6831,5,200
271,93590,0x744d6831,0x746d6831,6,213
0,0,0x34e29086,0x00029086,7,247
271,93590,0x744d6831,0x746d6831,8,248
228,78458,0x4664a73b,0x1184a73b,9,253
8,3048,0x6907d20c,0x3427d20c,10,257
272,93590,0x744d6831,0x746d6831,11,280
0,0,0x34e29086,0x00029086,12,302
129,44455,0x732c1eed,0x734c1eed,13,399
0,0,0x34e29086,0x00029086,14,406
272,93590,0x744d6831,0x746d6831,15,406
0,0,0x34e29086,0x00029086,16,426
271,93590,0x744d6831,0x746d6831,17,467
272,93590,0x744d6831,0x746d6831,18,476
72,24859,0x3d128bd3,0x08328bd3,19,490
66,22877,0x21c912a7,0x21e912a7,20,520
81,28089,0x10d83e52,0x5bf83e53,21,545
271,93590,0x744d6831,0x746d6831,22,558
129,44455,0x732c1eed,0x734c1eed,23,606
267,92151,0x366bbda4,0x018bbda4,24,622
272,93590,0x744d6831,0x746d6831,25,622
271,93590,0x744d6831,0x746d6831,26,674
0,0,0x34e29086,0x00029086,27,677
271,93590,0x744d6831,0x746d6831,28,702
271,93590,0x744d6831,0x746d6831,29,713
271,93590,0x744d6831,0x746d6831,30,730
129,44455,0x732c1eed,0x734c1eed,31,769
271,93590,0x744d6831,0x746d6831,32,786
272,93590,0x744d6831,0x746d6831,33,803
18,6524,0x08da93f9,0x53fa93fa,34,828
272,93590,0x744d6831,0x746d6831,35,841
129,44455,0x732c1eed,0x734c1eed,36,945
129,44455,0x732c1eed,0x734c1eed,37,951
129,44455,0x732c1eed,0x734c1eed,38,957
66,22877,0x21c912a7,0x21e912a7,39,988
0,0,0x34e29086,0x00029086,40,991
120,41683,0x57efdd16,0x230fdd16,41,992
100,34760,0x0a1ef8e2,0x553ef8e3,42,1009
0,0,0x34e29086,0x00029086,43,1017
272,93590,0x744d6831,0x746d6831,44,1019
271,93590,0x744d6831,0x746d6831,45,1031
8,3048,0x6907d20c,0x3427d20c,46,1057
271,93590,0x744d6831,0x746d6831,47,1058
270,93590,0x744d6831,0x746d6831,48,1111
271,93590,0x744d6831,0x746d6831,49,1112
271,93590,0x744d6831,0x746d6831,50,1114
0,0,0x34e29086,0x00029086,51,1120
0,0,0x34e29086,0x00029086,52,1169
272,93590,0x744d6831,0x746d6831,53,1178
0,0,0x34e29086,0x00029086,54,1179
127,44004,0x7ecea0b2,0x49eea0b2,55,1195
129,44455,0x732c1eed,0x734c1eed,56,1236
271,93590,0x744d6831,0x746d6831,57,1255
66,22877,0x21c912a7,0x21e912a7,58,1266
18,6524,0x08da93f9,0x53fa93fa,59,1274
233,80310,0x43071991,0x0e271991,60,1294
42,14478,0x45fec2b4,0x111ec2b4,61,1309
271,93590,0x744d6831,0x746d6831,62,1309
119,41118,0x27eea2ee,0x730ea2ef,63,1321
66,22877,0x21c912a7,0x21e912a7,64,1324
18,6524,0x08da93f9,0x53fa93fa,65,1341
271,93590,0x744d6831,0x746d6831,66,1358
271,93590,0x744d6831,0x746d6831,67,1400
36,12414,0x3c72f9bb,0x0792f9bb,68,1416
0,0,0x34e29086,0x00029086,69,1441
271,93590,0x744d6831,0x746d6831,70,1476
271,93590,0x744d6831,0x746d6831,71,1478
141,49037,0x3e04b1a3,0x0924b1a3,72,1493
0,0,0x34e29086,0x00029086,73,1510
271,93590,0x744d6831,0x746d6831,74,1552
129,44455,0x732c1eed,0x734c1eed,75,1553
271,93590,0x744d6831,0x746d6831,76,1563
0,0,0x34e29086,0x00029086,77,1592
0,0,0x34e29086,0x00029086,78,1597
0,0,0x34e29086,0x00029086,79,1597
271,93590,0x744d6831,0x746d6831,80,1602
66,22877,0x21c912a7,0x21e912a7,81,1637
114,39458,0x1482336a,0x5fa2336b,82,1659
271,93590,0x744d6831,0x746d6831,83,1691
66,22877,0x21c912a7,0x21e912a7,84,1702
0,0,0x34e29086,0x00029086,85,1720
270,93590,0x744d6831,0x746d6831,86,1727
66,22877,0x21c912a7,0x21e912a7,87,1728
129,44455,0x732c1eed,0x734c1eed,88,1729
271,93590,0x744d6831,0x746d6831,89,1740
272,93590,0x744d6831,0x746d6831,90,1753
18,6524,0x08da93f9,0x53fa93fa,91,1759
68,23737,0x4c540908,0x17740908,92,1770
128,44455,0x732c1eed,0x734c1eed,93,1774
