set_freq,meas_freq,success,fail,total,voltage
121000000,114655232,1000000,0,1000000,1000
121000000,114655232,1000000,0,1000000,1000
121000000,114720768,1000000,0,1000000,1000
122000000,121831424,1000000,0,1000000,1000
122000000,122028032,1000000,0,1000000,1000
122000000,121765888,1000000,0,1000000,1000
123000000,123305984,1000000,0,1000000,1000
123000000,123142144,1000000,0,1000000,1000
123000000,123273216,1000000,0,1000000,1000
124000000,124026880,1000000,0,1000000,1000
124000000,124092416,1000000,0,1000000,1000
124000000,123961344,1000000,0,1000000,1000
125000000,125042688,1000000,0,1000000,1000
125000000,124780544,1000000,0,1000000,1000
125000000,125042688,1000000,0,1000000,1000
126000000,126418944,1000000,0,1000000,1000
126000000,126451712,1000000,0,1000000,1000
126000000,126386176,1000000,0,1000000,1000
127000000,127041536,1000000,0,1000000,1000
127000000,127139840,1000000,0,1000000,1000
127000000,127270912,1000000,0,1000000,1000
128000000,128057344,1000000,0,1000000,1000
128000000,128253952,1000000,0,1000000,1000
128000000,128057344,1000000,0,1000000,1000
129000000,129400832,1000000,0,1000000,1000
129000000,129368064,1000000,0,1000000,1000
129000000,129105920,1000000,0,1000000,1000
130000000,130187264,1000000,0,1000000,1000
130000000,130416640,1000000,0,1000000,1000
130000000,130383872,1000000,0,1000000,1000
131000000,130678784,1000000,0,1000000,1000
131000000,130842624,1000000,0,1000000,1000
131000000,130842624,1000000,0,1000000,1000
132000000,132120576,1000000,0,1000000,1000
132000000,131956736,1000000,0,1000000,1000
132000000,132022272,1000000,0,1000000,1000
133000000,133398528,1000000,0,1000000,1000
133000000,133103616,1000000,0,1000000,1000
133000000,132939776,1000000,0,1000000,1000
134000000,134021120,1000000,0,1000000,1000
134000000,134119424,1000000,0,1000000,1000
134000000,134316032,1000000,0,1000000,1000
135000000,134709248,1000000,0,1000000,1000
135000000,134676480,1000000,0,1000000,1000
135000000,134840320,1000000,0,1000000,1000
136000000,135856128,1000000,0,1000000,1000
136000000,135757824,1000000,0,1000000,1000
136000000,135790592,1000000,0,1000000,1000
137000000,136806400,1000000,0,1000000,1000
137000000,136839168,1000000,0,1000000,1000
137000000,137297920,1000000,0,1000000,1000
138000000,138117120,1000000,0,1000000,1000
138000000,138510336,1000000,0,1000000,1000
138000000,138117120,1000000,0,1000000,1000
139000000,139001856,1000000,0,1000000,1000
139000000,138838016,1000000,0,1000000,1000
139000000,139100160,1000000,0,1000000,1000
140000000,140148736,1000000,0,1000000,1000
140000000,140214272,1000000,0,1000000,1000
140000000,140279808,1000000,0,1000000,1000
141000000,141066240,1000000,0,1000000,1000
141000000,141099008,1000000,0,1000000,1000
141000000,140902400,1000000,0,1000000,1000
142000000,142770176,1000000,0,1000000,1000
142000000,142770176,1000000,0,1000000,1000
142000000,142540800,1000000,0,1000000,1000
143000000,143294464,1000000,0,1000000,1000
143000000,143327232,1000000,0,1000000,1000
143000000,143523840,1000000,0,1000000,1000
144000000,143785984,1000000,0,1000000,1000
144000000,143785984,1000000,0,1000000,1000
144000000,143753216,1000000,0,1000000,1000
145000000,144343040,1000000,0,1000000,1000
145000000,144474112,1000000,0,1000000,1000
145000000,144375808,1000000,0,1000000,1000
146000000,146046976,1000000,0,1000000,1000
146000000,145883136,1000000,0,1000000,1000
146000000,145752064,1000000,0,1000000,1000
147000000,147062784,1000000,0,1000000,1000
147000000,147030016,1000000,0,1000000,1000
147000000,147488768,1000000,0,1000000,1000
148000000,148144128,1000000,0,1000000,1000
148000000,148275200,1000000,0,1000000,1000
148000000,148111360,1000000,0,1000000,1000
149000000,149291008,1000000,0,1000000,1000
149000000,148865024,1000000,0,1000000,1000
149000000,149487616,1000000,0,1000000,1000
150000000,149946368,1000000,0,1000000,1000
150000000,149979136,1000000,0,1000000,1000
150000000,149815296,1000000,0,1000000,1000
151000000,150929408,1000000,0,1000000,1000
151000000,151191552,1000000,0,1000000,1000
151000000,151257088,1000000,0,1000000,1000
152000000,152240128,1000000,0,1000000,1000
152000000,152371200,1000000,0,1000000,1000
152000000,152109056,1000000,0,1000000,1000
153000000,153550848,1000000,0,1000000,1000
153000000,153354240,1000000,0,1000000,1000
153000000,153485312,1000000,0,1000000,1000
154000000,154238976,1000000,0,1000000,1000
154000000,154304512,1000000,0,1000000,1000
154000000,154632192,1000000,0,1000000,1000
155000000,154861568,1000000,0,1000000,1000
155000000,154730496,1000000,0,1000000,1000
155000000,154501120,1000000,0,1000000,1000
156000000,156303360,1000000,0,1000000,1000
156000000,156303360,1000000,0,1000000,1000
156000000,156434432,1000000,0,1000000,1000
157000000,156991488,1000000,0,1000000,1000
157000000,157581312,1000000,0,1000000,1000
157000000,157155328,1000000,0,1000000,1000
158000000,157057024,1000000,0,1000000,1000
158000000,156991488,1000000,0,1000000,1000
158000000,157155328,1000000,0,1000000,1000
159000000,159121408,1000000,0,1000000,1000
159000000,159612928,1000000,0,1000000,1000
159000000,158859264,1000000,0,1000000,1000
160000000,159875072,1000000,0,1000000,1000
160000000,159645696,1000000,0,1000000,1000
160000000,160530432,1000000,0,1000000,1000
161000000,161120256,1000000,0,1000000,1000
161000000,161415168,1000000,0,1000000,1000
161000000,161021952,1000000,0,1000000,1000
162000000,162168832,1000000,0,1000000,1000
162000000,162660352,1000000,0,1000000,1000
162000000,162365440,1000000,0,1000000,1000
163000000,163643392,1000000,0,1000000,1000
163000000,163414016,1000000,0,1000000,1000
163000000,163381248,1000000,0,1000000,1000
164000000,163938304,1000000,0,1000000,1000
164000000,164495360,1000000,0,1000000,1000
164000000,163872768,1000000,0,1000000,1000
165000000,165117952,1000000,0,1000000,1000
165000000,165150720,1000000,0,1000000,1000
165000000,165347328,1000000,0,1000000,1000
166000000,167378944,1000000,0,1000000,1000
166000000,167116800,1000000,0,1000000,1000
166000000,166920192,1000000,0,1000000,1000
167000000,166723584,1000000,0,1000000,1000
167000000,166854656,1000000,0,1000000,1000
167000000,167182336,1000000,0,1000000,1000
168000000,168165376,1000000,0,1000000,1000
168000000,168132608,1000000,0,1000000,1000
168000000,168394752,1000000,0,1000000,1000
169000000,168951808,1000000,0,1000000,1000
169000000,168198144,1000000,0,1000000,1000
169000000,168067072,1000000,0,1000000,1000
170000000,170229760,1000000,0,1000000,1000
170000000,170065920,1000000,0,1000000,1000
170000000,169672704,1000000,0,1000000,1000
171000000,170852352,1000000,0,1000000,1000
171000000,170491904,1000000,0,1000000,1000
171000000,170655744,1000000,0,1000000,1000
172000000,172490752,1000000,0,1000000,1000
172000000,171638784,1000000,0,1000000,1000
172000000,171999232,1000000,0,1000000,1000
173000000,172949504,1000000,0,1000000,1000
173000000,173178880,1000000,0,1000000,1000
173000000,173309952,1000000,0,1000000,1000
174000000,173768704,1000000,0,1000000,1000
174000000,173178880,1000000,0,1000000,1000
174000000,173277184,1000000,0,1000000,1000
175000000,175407104,1000000,0,1000000,1000
175000000,175800320,1000000,0,1000000,1000
175000000,175439872,1000000,0,1000000,1000
176000000,176291840,1000000,0,1000000,1000
176000000,176553984,1000000,0,1000000,1000
176000000,176128000,1000000,0,1000000,1000
177000000,176652288,1000000,0,1000000,1000
177000000,176521216,1000000,0,1000000,1000
177000000,176947200,1000000,0,1000000,1000
178000000,178585600,1000000,0,1000000,1000
178000000,178487296,1000000,0,1000000,1000
178000000,178257920,1000000,0,1000000,1000
179000000,179666944,1000000,0,1000000,1000
179000000,179699712,1000000,0,1000000,1000
179000000,179404800,1000000,0,1000000,1000
180000000,180355072,1000000,0,1000000,1000
180000000,180584448,1000000,0,1000000,1000
180000000,180125696,1000000,0,1000000,1000
181000000,180584448,1000000,0,1000000,1000
181000000,180813824,1000000,0,1000000,1000
181000000,180617216,1000000,0,1000000,1000
182000000,181338112,1000000,0,1000000,1000
182000000,181338112,1000000,0,1000000,1000
182000000,181633024,1000000,0,1000000,1000
183000000,183042048,1000000,0,1000000,1000
183000000,183336960,1000000,0,1000000,1000
183000000,183009280,1000000,0,1000000,1000
184000000,184418304,1000000,0,1000000,1000
184000000,184483840,1000000,0,1000000,1000
184000000,184287232,1000000,0,1000000,1000
185000000,185368576,1000000,0,1000000,1000
185000000,185237504,1000000,0,1000000,1000
185000000,185499648,1000000,0,1000000,1000
186000000,185696256,1000000,0,1000000,1000
186000000,186515456,1000000,0,1000000,1000
186000000,185958400,1000000,0,1000000,1000
187000000,187400192,1000000,0,1000000,1000
187000000,186941440,1000000,0,1000000,1000
187000000,187367424,1000000,0,1000000,1000
188000000,188547072,1000000,0,1000000,1000
188000000,188579840,1000000,0,1000000,1000
188000000,188448768,1000000,0,1000000,1000
189000000,189792256,1000000,0,1000000,1000
189000000,189923328,1000000,0,1000000,1000
189000000,189562880,1000000,0,1000000,1000
190000000,189857792,1000000,0,1000000,1000
190000000,189497344,1000000,0,1000000,1000
190000000,190021632,1000000,0,1000000,1000
191000000,192217088,1000000,0,1000000,1000
191000000,192512000,1000000,0,1000000,1000
191000000,192380928,1000000,0,1000000,1000
192000000,191528960,1000000,0,1000000,1000
192000000,191922176,1000000,0,1000000,1000
192000000,191987712,1000000,0,1000000,1000
193000000,193363968,1000000,0,1000000,1000
193000000,193560576,1000000,0,1000000,1000
193000000,193331200,1000000,0,1000000,1000
194000000,193396736,1000000,0,1000000,1000
194000000,194019328,1000000,0,1000000,1000
194000000,193855488,1000000,0,1000000,1000
195000000,195493888,1000000,0,1000000,1000
195000000,195264512,1000000,0,1000000,1000
195000000,194969600,1000000,0,1000000,1000
196000000,196083712,1000000,0,1000000,1000
196000000,195297280,1000000,0,1000000,1000
196000000,195756032,1000000,0,1000000,1000
197000000,197066752,1000000,0,1000000,1000
197000000,196673536,1000000,0,1000000,1000
197000000,197394432,1000000,0,1000000,1000
198000000,198803456,1000000,0,1000000,1000
198000000,198967296,1000000,0,1000000,1000
198000000,198836224,1000000,0,1000000,1000
199000000,198508544,1000000,0,1000000,1000
199000000,199000064,1000000,0,1000000,1000
199000000,198770688,1000000,0,1000000,1000
200000000,200835072,1000000,0,1000000,1000
200000000,200310784,1000000,0,1000000,1000
200000000,200638464,1000000,0,1000000,1000
201000000,201064448,1000000,0,1000000,1000
201000000,200998912,1000000,0,1000000,1000
201000000,201195520,1000000,0,1000000,1000
202000000,202375168,1000000,0,1000000,1000
202000000,201949184,1000000,0,1000000,1000
202000000,202342400,1000000,0,1000000,1000
203000000,202539008,1000000,0,1000000,1000
203000000,202997760,1000000,0,1000000,1000
203000000,203030528,1000000,0,1000000,1000
204000000,204800000,1000000,0,1000000,1000
204000000,203816960,1000000,0,1000000,1000
204000000,204275712,1000000,0,1000000,1000
205000000,204898304,1000000,0,1000000,1000
205000000,204865536,1000000,0,1000000,1000
205000000,204898304,1000000,0,1000000,1000
206000000,205914112,1000000,0,1000000,1000
206000000,206045184,1000000,0,1000000,1000
206000000,205783040,1000000,0,1000000,1000
207000000,207421440,1000000,0,1000000,1000
207000000,206864384,1000000,0,1000000,1000
207000000,207257600,1000000,0,1000000,1000
208000000,208764928,1000000,0,1000000,1000
208000000,208207872,1000000,0,1000000,1000
208000000,207880192,1000000,0,1000000,1000
209000000,208994304,1000000,0,1000000,1000
209000000,209485824,1000000,0,1000000,1000
209000000,209256448,1000000,0,1000000,1000
210000000,209846272,1000000,0,1000000,1000
210000000,209223680,1000000,0,1000000,1000
210000000,210108416,1000000,0,1000000,1000
211000000,210108416,1000000,0,1000000,1000
211000000,209485824,1000000,0,1000000,1000
211000000,210731008,1000000,0,1000000,1000
212000000,212303872,1000000,0,1000000,1000
212000000,211910656,1000000,0,1000000,1000
212000000,211714048,1000000,0,1000000,1000
213000000,213319680,1000000,0,1000000,1000
213000000,212664320,1000000,0,1000000,1000
213000000,212893696,1000000,0,1000000,1000
214000000,213614592,1000000,0,1000000,1000
214000000,213680128,1000000,0,1000000,1000
214000000,214401024,1000000,0,1000000,1000
215000000,214827008,1000000,0,1000000,1000
215000000,215089152,1000000,0,1000000,1000
215000000,214499328,1000000,0,1000000,1000
216000000,216465408,1000000,0,1000000,1000
216000000,216170496,1000000,0,1000000,1000
216000000,216268800,1000000,0,1000000,1000
217000000,217251840,1000000,0,1000000,1000
217000000,216760320,1000000,0,1000000,1000
217000000,217088000,1000000,0,1000000,1000
218000000,218890240,1000000,0,1000000,1000
218000000,218890240,1000000,0,1000000,1000
218000000,218660864,1000000,0,1000000,1000
219000000,218693632,1000000,0,1000000,1000
219000000,218497024,1000000,0,1000000,1000
219000000,219021312,1000000,0,1000000,1000
220000000,220463104,1000000,0,1000000,1000
220000000,220463104,1000000,0,1000000,1000
220000000,220463104,1000000,0,1000000,1000
221000000,220889088,1000000,0,1000000,1000
221000000,220987392,1000000,0,1000000,1000
221000000,220856320,1000000,0,1000000,1000
222000000,222855168,1000000,0,1000000,1000
222000000,222232576,1000000,0,1000000,1000
222000000,222199808,1000000,0,1000000,1000
223000000,223444992,1000000,0,1000000,1000
223000000,223281152,1000000,0,1000000,1000
223000000,223281152,1000000,0,1000000,1000
224000000,224624640,1000000,0,1000000,1000
224000000,224067584,1000000,0,1000000,1000
224000000,223936512,1000000,0,1000000,1000
