/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 154009 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
46,195000000,1000000,0,1000000,1892
47,195000000,1000000,0,1000000,1900
48,195000000,1000000,0,1000000,1904
49,195000000,1000000,0,1000000,1908
50,195000000,1000000,0,1000000,1872
51,195000000,1000000,0,1000000,1879
52,195000000,1000000,0,1000000,1875
53,195000000,1000000,0,1000000,2133
54,195000000,1000000,0,1000000,1903
55,195000000,1000000,0,1000000,1863
56,195000000,1000000,0,1000000,1920
57,195000000,1000000,0,1000000,1890
58,195000000,1000000,0,1000000,1868
59,195000000,1000000,0,1000000,1861
60,195000000,1000000,0,1000000,2016
61,195000000,1000000,0,1000000,2107
62,195000000,1000000,0,1000000,1891
63,195000000,1000000,0,1000000,1865
64,195000000,1000000,0,1000000,2127
65,195000000,1000000,0,1000000,1901
66,195000000,1000000,0,1000000,1921
67,195000000,1000000,0,1000000,1895
68,195000000,1000000,0,1000000,1865
69,195000000,1000000,0,1000000,1897
70,195000000,1000000,0,1000000,2079
71,195000000,1000000,0,1000000,1894
72,195000000,1000000,0,1000000,2073
73,195000000,1000000,0,1000000,1880
74,195000000,1000000,0,1000000,1870
75,195000000,1000000,0,1000000,1871
76,195000000,1000000,0,1000000,2122
77,195000000,1000000,0,1000000,1916
78,195000000,1000000,0,1000000,1867
79,195000000,1000000,0,1000000,1986
80,195000000,1000000,0,1000000,1877
81,195000000,1000000,0,1000000,1903
82,195000000,1000000,0,1000000,1894
83,195000000,1000000,0,1000000,1870
84,195000000,1000000,0,1000000,1869
85,195000000,1000000,0,1000000,1890
86,195000000,1000000,0,1000000,1887
87,195000000,1000000,0,1000000,1918
88,195000000,1000000,0,1000000,1876
89,195000000,1000000,0,1000000,1874
90,195000000,1000000,0,1000000,1878
91,195000000,1000000,0,1000000,1861
92,195000000,1000000,0,1000000,1866
93,195000000,1000000,0,1000000,1877
94,195000000,1000000,0,1000000,1895
95,195000000,1000000,0,1000000,2093
96,195000000,1000000,0,1000000,1886
97,195000000,1000000,0,1000000,1877
98,195000000,1000000,0,1000000,1947
99,195000000,1000000,0,1000000,1891
0,200000000,1000000,0,1000000,1855
1,200000000,1000000,0,1000000,1993
2,200000000,1000000,0,1000000,1972
3,200000000,1000000,0,1000000,1935
4,200000000,1000000,0,1000000,1997
5,200000000,1000000,0,1000000,1919
6,200000000,1000000,0,1000000,2014
7,200000000,1000000,0,1000000,1935
8,200000000,1000000,0,1000000,2030
9,200000000,1000000,0,1000000,1875
10,200000000,1000000,0,1000000,1987
11,200000000,1000000,0,1000000,1871
12,200000000,1000000,0,1000000,1995
13,200000000,1000000,0,1000000,1855
14,200000000,1000000,0,1000000,1946
15,200000000,1000000,0,1000000,1856
16,200000000,1000000,0,1000000,1866
17,200000000,1000000,0,1000000,1858
18,200000000,1000000,0,1000000,1933
19,200000000,1000000,0,1000000,2019
20,200000000,1000000,0,1000000,2053
21,200000000,1000000,0,1000000,2039
22,200000000,1000000,0,1000000,1986
23,200000000,1000000,0,1000000,1951
24,200000000,1000000,0,1000000,1939
25,200000000,1000000,0,1000000,1967
26,200000000,1000000,0,1000000,1869
27,200000000,1000000,0,1000000,2022
28,200000000,1000000,0,1000000,2024
29,200000000,1000000,0,1000000,1963
30,200000000,1000000,0,1000000,2009
31,200000000,1000000,0,1000000,2054
32,200000000,1000000,0,1000000,1972
33,200000000,1000000,0,1000000,1915
34,200000000,1000000,0,1000000,1945
35,200000000,1000000,0,1000000,1929
36,200000000,1000000,0,1000000,1862
37,200000000,1000000,0,1000000,2001
38,200000000,1000000,0,1000000,1913
39,200000000,1000000,0,1000000,1895
40,200000000,1000000,0,1000000,1868
41,200000000,1000000,0,1000000,1974
42,200000000,1000000,0,1000000,1841
43,200000000,1000000,0,1000000,2010
44,200000000,1000000,0,1000000,1899
45,200000000,1000000,0,1000000,1884
46,200000000,1000000,0,1000000,1996
47,200000000,1000000,0,1000000,1873
48,200000000,1000000,0,1000000,1917
49,200000000,1000000,0,1000000,1853
50,200000000,1000000,0,1000000,1975
51,200000000,1000000,0,1000000,1945
52,200000000,1000000,0,1000000,1964
53,200000000,1000000,0,1000000,1909
54,200000000,1000000,0,1000000,1935
55,200000000,1000000,0,1000000,1852
56,200000000,1000000,0,1000000,1946
57,200000000,1000000,0,1000000,1940
58,200000000,1000000,0,1000000,1959
59,200000000,1000000,0,1000000,1868
60,200000000,1000000,0,1000000,1989
61,200000000,1000000,0,1000000,2013
62,200000000,1000000,0,1000000,2044
63,200000000,1000000,0,1000000,2015
64,200000000,1000000,0,1000000,2021
65,200000000,1000000,0,1000000,1866
66,200000000,1000000,0,1000000,1877
67,200000000,1000000,0,1000000,1856
68,200000000,1000000,0,1000000,1987
69,200000000,1000000,0,1000000,1944
70,200000000,1000000,0,1000000,2056
71,200000000,1000000,0,1000000,1915
72,200000000,1000000,0,1000000,1859
73,200000000,1000000,0,1000000,2001
74,200000000,1000000,0,1000000,2047
75,200000000,1000000,0,1000000,1868
76,200000000,1000000,0,1000000,1927
77,200000000,1000000,0,1000000,1966
78,200000000,1000000,0,1000000,1892
79,200000000,1000000,0,1000000,1851
80,200000000,1000000,0,1000000,1977
81,200000000,1000000,0,1000000,1883
82,200000000,1000000,0,1000000,1997
83,200000000,1000000,0,1000000,2001
84,200000000,1000000,0,1000000,1982
85,200000000,1000000,0,1000000,2027
86,200000000,1000000,0,1000000,2024
87,200000000,1000000,0,1000000,1986
88,200000000,1000000,0,1000000,2006
89,200000000,1000000,0,1000000,1879
90,200000000,1000000,0,1000000,1973
91,200000000,1000000,0,1000000,1924
92,200000000,1000000,0,1000000,1899
93,200000000,1000000,0,1000000,1919
94,200000000,1000000,0,1000000,2050
95,200000000,1000000,0,1000000,1899
96,200000000,1000000,0,1000000,1911
97,200000000,1000000,0,1000000,1922
98,200000000,1000000,0,1000000,1891
99,200000000,1000000,0,1000000,2059
0,205000000,1000000,0,1000000,1918
1,205000000,1000000,0,1000000,1909
2,205000000,1000000,0,1000000,1918
3,205000000,1000000,0,1000000,1899
4,205000000,1000000,0,1000000,1912
5,205000000,1000000,0,1000000,1914
6,205000000,1000000,0,1000000,1958
7,205000000,1000000,0,1000000,1898
8,205000000,1000000,0,1000000,1970
