set_freq,meas_freq,success,fail,total,voltage
87000000,81428480,1000000,0,1000000,1000
87000000,81494016,1000000,0,1000000,1000
87000000,81526784,1000000,0,1000000,1000
87000000,81690624,1000000,0,1000000,1000
87000000,81494016,1000000,0,1000000,1000
87000000,81494016,1000000,0,1000000,1000
87000000,81526784,1000000,0,1000000,1000
87000000,81690624,1000000,0,1000000,1000
87000000,81461248,1000000,0,1000000,1000
87000000,81690624,1000000,0,1000000,1000
87000000,87195648,1000000,0,1000000,1050
87000000,87130112,1000000,0,1000000,1050
87000000,87097344,1000000,0,1000000,1050
87000000,87359488,1000000,0,1000000,1050
87000000,87195648,1000000,0,1000000,1050
87000000,87392256,1000000,0,1000000,1050
87000000,87261184,1000000,0,1000000,1050
87000000,87523328,1000000,0,1000000,1050
87000000,87359488,1000000,0,1000000,1050
87000000,87228416,1000000,0,1000000,1050
87000000,87064576,1000000,0,1000000,1100
87000000,86900736,1000000,0,1000000,1100
87000000,86900736,1000000,0,1000000,1100
87000000,86835200,1000000,0,1000000,1100
87000000,86769664,1000000,0,1000000,1100
87000000,87228416,1000000,0,1000000,1100
87000000,87228416,1000000,0,1000000,1100
87000000,87195648,1000000,0,1000000,1100
87000000,87293952,1000000,0,1000000,1100
87000000,86999040,1000000,0,1000000,1100
87000000,87392256,1000000,0,1000000,1150
87000000,87097344,1000000,0,1000000,1150
87000000,87359488,1000000,0,1000000,1150
87000000,87097344,1000000,0,1000000,1150
87000000,87326720,1000000,0,1000000,1150
87000000,87293952,1000000,0,1000000,1150
87000000,87293952,1000000,0,1000000,1150
87000000,87359488,1000000,0,1000000,1150
87000000,87359488,1000000,0,1000000,1150
87000000,87359488,1000000,0,1000000,1150
87000000,86966272,1000000,0,1000000,1200
87000000,87261184,1000000,0,1000000,1200
87000000,87228416,1000000,0,1000000,1200
87000000,87097344,1000000,0,1000000,1200
87000000,87031808,1000000,0,1000000,1200
87000000,87064576,1000000,0,1000000,1200
87000000,86999040,1000000,0,1000000,1200
87000000,87031808,1000000,0,1000000,1200
87000000,87162880,1000000,0,1000000,1200
87000000,87195648,1000000,0,1000000,1200
