set_freq,meas_freq,success,fail,total,voltage
221000000,220561408,1000000,0,1000000,1000
221000000,220594176,1000000,0,1000000,1000
221000000,220430336,1000000,0,1000000,1000
221000000,220233728,1000000,0,1000000,1000
221000000,220430336,1000000,0,1000000,1000
221000000,220528640,1000000,0,1000000,1000
221000000,220659712,1000000,0,1000000,1000
221000000,219873280,1000000,0,1000000,1000
221000000,220069888,1000000,0,1000000,1000
221000000,220037120,1000000,0,1000000,1000
222000000,222560256,1000000,0,1000000,1000
222000000,222920704,1000000,0,1000000,1000
222000000,222887936,1000000,0,1000000,1000
222000000,222855168,1000000,0,1000000,1000
222000000,222920704,1000000,0,1000000,1000
222000000,222691328,1000000,0,1000000,1000
222000000,222625792,1000000,0,1000000,1000
222000000,222887936,1000000,0,1000000,1000
222000000,222494720,1000000,0,1000000,1000
222000000,223051776,1000000,0,1000000,1000
223000000,222396416,1000000,0,1000000,1000
223000000,222887936,1000000,0,1000000,1000
223000000,222953472,1000000,0,1000000,1000
223000000,222822400,1000000,0,1000000,1000
223000000,222724096,1000000,0,1000000,1000
223000000,222527488,1000000,0,1000000,1000
223000000,222887936,1000000,0,1000000,1000
223000000,222691328,1000000,0,1000000,1000
223000000,222789632,1000000,0,1000000,1000
223000000,222724096,1000000,0,1000000,1000
224000000,224722944,1000000,0,1000000,1000
224000000,224231424,1000000,0,1000000,1000
224000000,224428032,1000000,0,1000000,1000
224000000,224231424,1000000,0,1000000,1000
224000000,224624640,1000000,0,1000000,1000
224000000,224329728,1000000,0,1000000,1000
224000000,224231424,1000000,0,1000000,1000
224000000,224526336,1000000,0,1000000,1000
224000000,224329728,1000000,0,1000000,1000
224000000,224198656,1000000,0,1000000,1000
225000000,225247232,996524,1,996525,1000
225000000,225443840,1000000,0,1000000,1000
225000000,224722944,1000000,0,1000000,1000
225000000,225050624,1000000,0,1000000,1000
225000000,225705984,990000,1,990001,1000
225000000,224985088,993048,2,993050,1000
225000000,225083392,993048,1,993049,1000
225000000,225083392,1000000,0,1000000,1000
225000000,225574912,1000000,0,1000000,1000
225000000,224919552,996524,1,996525,1000
