set_freq,meas_freq,success,fail,total,voltage
121000000,115113984,1000000,0,1000000,1000
121000000,115310592,1000000,0,1000000,1000
121000000,115277824,1000000,0,1000000,1000
121000000,115441664,1000000,0,1000000,1000
121000000,115212288,1000000,0,1000000,1000
121000000,115343360,1000000,0,1000000,1000
121000000,115146752,1000000,0,1000000,1000
121000000,115015680,1000000,0,1000000,1000
121000000,115048448,1000000,0,1000000,1000
121000000,114851840,1000000,0,1000000,1000
122000000,122486784,1000000,0,1000000,1000
122000000,122355712,1000000,0,1000000,1000
122000000,122388480,1000000,0,1000000,1000
122000000,122322944,1000000,0,1000000,1000
122000000,122290176,1000000,0,1000000,1000
122000000,122454016,1000000,0,1000000,1000
122000000,122519552,1000000,0,1000000,1000
122000000,122257408,1000000,0,1000000,1000
122000000,122224640,1000000,0,1000000,1000
122000000,122355712,1000000,0,1000000,1000
123000000,122847232,1000000,0,1000000,1000
123000000,122650624,1000000,0,1000000,1000
123000000,123011072,1000000,0,1000000,1000
123000000,122781696,1000000,0,1000000,1000
123000000,122912768,1000000,0,1000000,1000
123000000,122617856,1000000,0,1000000,1000
123000000,122978304,1000000,0,1000000,1000
123000000,122748928,1000000,0,1000000,1000
123000000,122716160,1000000,0,1000000,1000
123000000,122978304,1000000,0,1000000,1000
124000000,124157952,1000000,0,1000000,1000
124000000,124026880,1000000,0,1000000,1000
124000000,124256256,1000000,0,1000000,1000
124000000,124223488,1000000,0,1000000,1000
124000000,124026880,1000000,0,1000000,1000
124000000,124223488,1000000,0,1000000,1000
124000000,124190720,1000000,0,1000000,1000
124000000,124190720,1000000,0,1000000,1000
124000000,124289024,1000000,0,1000000,1000
124000000,124190720,1000000,0,1000000,1000
125000000,125206528,1000000,0,1000000,1000
125000000,124911616,1000000,0,1000000,1000
125000000,125239296,1000000,0,1000000,1000
125000000,125370368,1000000,0,1000000,1000
125000000,125140992,1000000,0,1000000,1000
125000000,125075456,1000000,0,1000000,1000
125000000,125140992,1000000,0,1000000,1000
125000000,125108224,1000000,0,1000000,1000
125000000,125042688,1000000,0,1000000,1000
125000000,125108224,1000000,0,1000000,1000
126000000,126189568,1000000,0,1000000,1000
126000000,126320640,1000000,0,1000000,1000
126000000,126386176,1000000,0,1000000,1000
126000000,126058496,1000000,0,1000000,1000
126000000,126484480,1000000,0,1000000,1000
126000000,126222336,1000000,0,1000000,1000
126000000,126386176,1000000,0,1000000,1000
126000000,126025728,1000000,0,1000000,1000
126000000,126025728,1000000,0,1000000,1000
126000000,126287872,1000000,0,1000000,1000
127000000,126746624,1000000,0,1000000,1000
127000000,127172608,1000000,0,1000000,1000
127000000,126877696,1000000,0,1000000,1000
127000000,126746624,1000000,0,1000000,1000
127000000,127008768,1000000,0,1000000,1000
127000000,126812160,1000000,0,1000000,1000
127000000,127074304,1000000,0,1000000,1000
127000000,127041536,1000000,0,1000000,1000
127000000,126877696,1000000,0,1000000,1000
127000000,126713856,1000000,0,1000000,1000
128000000,128221184,1000000,0,1000000,1000
128000000,127991808,1000000,0,1000000,1000
128000000,127926272,1000000,0,1000000,1000
128000000,128286720,1000000,0,1000000,1000
128000000,128319488,1000000,0,1000000,1000
128000000,128155648,1000000,0,1000000,1000
128000000,128286720,1000000,0,1000000,1000
128000000,128417792,1000000,0,1000000,1000
128000000,128614400,1000000,0,1000000,1000
128000000,127860736,1000000,0,1000000,1000
129000000,129957888,1000000,0,1000000,1000
129000000,129662976,1000000,0,1000000,1000
129000000,129400832,1000000,0,1000000,1000
129000000,129826816,1000000,0,1000000,1000
129000000,129794048,1000000,0,1000000,1000
129000000,129466368,1000000,0,1000000,1000
129000000,129695744,1000000,0,1000000,1000
129000000,129531904,1000000,0,1000000,1000
129000000,129499136,1000000,0,1000000,1000
129000000,129433600,1000000,0,1000000,1000
130000000,130187264,1000000,0,1000000,1000
130000000,130154496,1000000,0,1000000,1000
130000000,130580480,1000000,0,1000000,1000
130000000,130023424,1000000,0,1000000,1000
130000000,130383872,1000000,0,1000000,1000
130000000,130449408,1000000,0,1000000,1000
130000000,130383872,1000000,0,1000000,1000
130000000,130547712,1000000,0,1000000,1000
130000000,130252800,1000000,0,1000000,1000
130000000,130482176,1000000,0,1000000,1000
131000000,131203072,1000000,0,1000000,1000
131000000,131399680,1000000,0,1000000,1000
131000000,131432448,1000000,0,1000000,1000
131000000,131301376,1000000,0,1000000,1000
131000000,131268608,1000000,0,1000000,1000
131000000,130973696,1000000,0,1000000,1000
131000000,131104768,1000000,0,1000000,1000
131000000,131170304,1000000,0,1000000,1000
131000000,131039232,1000000,0,1000000,1000
131000000,131039232,1000000,0,1000000,1000
132000000,132087808,1000000,0,1000000,1000
132000000,131858432,1000000,0,1000000,1000
132000000,132055040,1000000,0,1000000,1000
132000000,131989504,1000000,0,1000000,1000
132000000,132055040,1000000,0,1000000,1000
132000000,131956736,1000000,0,1000000,1000
132000000,132317184,1000000,0,1000000,1000
132000000,132120576,1000000,0,1000000,1000
132000000,132448256,1000000,0,1000000,1000
132000000,132349952,1000000,0,1000000,1000
133000000,133136384,1000000,0,1000000,1000
133000000,133300224,1000000,0,1000000,1000
133000000,133234688,1000000,0,1000000,1000
133000000,133103616,1000000,0,1000000,1000
133000000,132972544,1000000,0,1000000,1000
133000000,133398528,1000000,0,1000000,1000
133000000,133070848,1000000,0,1000000,1000
133000000,133038080,1000000,0,1000000,1000
133000000,133005312,1000000,0,1000000,1000
133000000,133398528,1000000,0,1000000,1000
134000000,134053888,1000000,0,1000000,1000
134000000,134152192,1000000,0,1000000,1000
134000000,134316032,1000000,0,1000000,1000
134000000,134479872,1000000,0,1000000,1000
134000000,134184960,1000000,0,1000000,1000
134000000,134348800,1000000,0,1000000,1000
134000000,133464064,1000000,0,1000000,1000
134000000,134414336,1000000,0,1000000,1000
134000000,134053888,1000000,0,1000000,1000
134000000,134283264,1000000,0,1000000,1000
135000000,135266304,1000000,0,1000000,1000
135000000,134873088,1000000,0,1000000,1000
135000000,134873088,1000000,0,1000000,1000
135000000,135135232,1000000,0,1000000,1000
135000000,135069696,1000000,0,1000000,1000
135000000,135069696,1000000,0,1000000,1000
135000000,134938624,1000000,0,1000000,1000
135000000,134774784,1000000,0,1000000,1000
135000000,134971392,1000000,0,1000000,1000
135000000,135266304,1000000,0,1000000,1000
136000000,135987200,1000000,0,1000000,1000
136000000,136151040,1000000,0,1000000,1000
136000000,136282112,1000000,0,1000000,1000
136000000,135987200,1000000,0,1000000,1000
136000000,135725056,1000000,0,1000000,1000
136000000,136151040,1000000,0,1000000,1000
136000000,135987200,1000000,0,1000000,1000
136000000,136085504,1000000,0,1000000,1000
136000000,136544256,1000000,0,1000000,1000
136000000,136118272,1000000,0,1000000,1000
137000000,137265152,1000000,0,1000000,1000
137000000,137101312,1000000,0,1000000,1000
137000000,137297920,1000000,0,1000000,1000
137000000,137166848,1000000,0,1000000,1000
137000000,137068544,1000000,0,1000000,1000
137000000,137396224,1000000,0,1000000,1000
137000000,137035776,1000000,0,1000000,1000
137000000,137003008,1000000,0,1000000,1000
137000000,137003008,1000000,0,1000000,1000
137000000,137330688,1000000,0,1000000,1000
138000000,138084352,1000000,0,1000000,1000
138000000,137658368,1000000,0,1000000,1000
138000000,137723904,1000000,0,1000000,1000
138000000,137789440,1000000,0,1000000,1000
138000000,137920512,1000000,0,1000000,1000
138000000,137789440,1000000,0,1000000,1000
138000000,138117120,1000000,0,1000000,1000
138000000,137789440,1000000,0,1000000,1000
