set_freq,meas_freq,success,fail,total,voltage,time
81000000,81592320,10000000,0,10000000,1200,5851
82000000,81920000,10000000,0,10000000,1200,5855
83000000,82771968,10000000,0,10000000,1200,5627
84000000,84377600,10000000,0,10000000,1200,5315
85000000,84803584,10000000,0,10000000,1200,5090
86000000,80478208,10000000,0,10000000,1200,5393
87000000,87064576,10000000,0,10000000,1200,3574
88000000,87851008,10000000,0,10000000,1200,3286
89000000,88866816,10000000,0,10000000,1200,3140
90000000,90144768,10000000,0,10000000,1200,2656
91000000,91324416,10000000,0,10000000,1200,2643
92000000,92078080,10000000,0,10000000,1200,2481
93000000,92536832,10000000,0,10000000,1200,2334
94000000,94404608,10000000,0,10000000,1200,2022
95000000,95191040,10000000,0,10000000,1200,1734
96000000,95944704,10000000,0,10000000,1200,1589
97000000,96796672,10000000,0,10000000,1200,1428
98000000,98074624,10000000,0,10000000,1200,1093
99000000,98893824,10000000,0,10000000,1200,963
100000000,99713024,10000000,0,10000000,1200,882
